Category,Asset Name,Type,Description / Purpose,Format,Variants / States,Priority,Notes
,,,,,,,"Math Mate — Asset List for Design Team. Currently the app uses emojis and CSS animations as placeholders. This list covers what's needed for the full visual reskin."
,,,,,,,
CHARACTERS,,,,,,,"Two characters: a Master Tutor (primary teaching voice) and a Sidekick/Minion (cute companion for nudges and light humor)"
Characters,Tutor — Default/Idle,Illustration,"The tutor's resting state. Visible in the chat panel area and content pane when speaking. Friendly, approachable, teacher-like.",PNG with transparency,1 pose,P0,This is the primary character asset — everything else builds on this design
Characters,Tutor — Speaking,Illustration / Animation,"Tutor is talking (mouth open/moving). Shown whenever AI voice is playing (narration, questions, scaffolding).",Lottie or sprite sheet,Looping animation,P0,Most frequently seen state — needs to feel natural and not repetitive
Characters,Tutor — Listening,Illustration / Animation,"Tutor is paying attention to the student. Shown when student holds PTT and speaks.",Lottie or sprite sheet,Looping animation (e.g. ear cupped or leaning in),P0,Should feel attentive — kid should feel heard
Characters,Tutor — Thinking,Illustration / Animation,"Tutor is processing what the student said. Brief state between student speaking and AI responding.",Lottie or sprite sheet,Looping animation (e.g. hand on chin or looking up),P1,"Shown for 1-3 seconds. Can be simpler than speaking/listening."
Characters,Tutor — Celebrating,Illustration / Animation,"Tutor is happy/excited. Shown when student answers correctly, alongside confetti.",Lottie or sprite sheet,One-shot animation (e.g. arms up or clapping),P0,Triggered on correct answers — needs to feel genuinely excited
Characters,Tutor — Encouraging,Illustration,"Tutor is warm and supportive. Shown when student answers incorrectly. Must NOT look disappointed.",PNG with transparency,1 pose (gentle smile or beckoning gesture),P1,"Critical: never sad or frustrated. Think 'good try, let's figure it out together'"
Characters,Tutor — Waving/Greeting,Illustration / Animation,"Tutor waves hello. Shown on welcome screen and during greeting conversation.",Lottie or sprite sheet,One-shot animation,P1,First impression — sets the tone for the whole session
Characters,Sidekick — Default/Idle,Illustration,"The sidekick's resting pose. Small, cute, sits near the chat area or corner of screen. Not attention-stealing.",PNG with transparency,1 pose,P0,Should be noticeably smaller than the tutor — a companion not a co-teacher
